அஃதாவது:[[அஃதாவது, , , , , , , , , , , ]]
அஃது:[[அஃது, , , , , , , , , , , ]]
அஃறிணை:[[அஃறிணை, , , , , , , , , , , ]]
அகக்கண்:[[அகக்கண், , , , , , , , , , , ]]
அகங்காரம்:[[அகங்காரம், , , , , , , , , , , ]]
அகச்சான்று:[[அகச்சான்று, , , , , , , , , , , ]]
அகச்சிவப்பு:[[அகச்சிவப்பு, , , , , , , , , , , ]]
அகட்டு:[[அகட்டு, , , , , , , , , , , ]]
அகண்ட:[[அகண்ட, , , , , , , , , , , ]]
அகதி:[[அகதி, , , , , , , , , , , ]]
அகத்தி:[[அகத்தி, , , , , , , , , , , ]]
அகத்தேர்வாளா்:[[அகத்தேர்வாளா், , , , , , , , , , , ]]
அகத்தேர்வு:[[அகத்தேர்வு, , , , , , , , , , , ]]
அகந்தை:[[அகந்தை, , , , , , , , , , , ]]
அகன்ற:[[அகன்ற, , , , , , , , , , , ]]
அகப்படு:[[அகப்படு, , , , , , , , , , , ]]
அகப்பை:[[அகப்பை, , , , , , , , , , , ]]
அகமணம்:[[அகமணம், , , , , , , , , , , ]]
அகமதீப்பீடு:[[அகமதீப்பீடு, , , , , , , , , , , ]]
அகம்:[[அகம், , , , , , , , , , , ]]
அகம்பாவம்:[[அகம்பாவம், , , , , , , , , , , ]]
அகம்பாவி:[[அகம்பாவி, , , , , , , , , , , ]]
அகரமுதலி:[[அகரமுதலி, , , , , , , , , , , ]]
அகரவரிசை:[[அகரவரிசை, , , , , , , , , , , ]]
அகராதி:[[அகராதி, , , , , , , , , , , ]]
அகராதியியல்:[[அகராதியியல், , , , , , , , , , , ]]
அகற்று:[[அகற்று, , , , , , , , , , , ]]
அகல:[[அகலம், , , , , , , , , , , ]]
அகலகால்:[[அகலகால், , , , , , , , , , , ]]
அகலப்படுத்து:[[அகலப்படுத்து, , , , , , , , , , , ]]
அகலம்:[[அகலம், , , , , , , , , , , ]]
அகலி:[[அகலி, , , , , , , , , , , ]]
அகல்:[[அகல், , , , , , , , , , , ]]
அகழாய்வு:[[அகழாய்வு, , , , , , , , , , , ]]
அகழி:[[அகழி, , , , , , , , , , , ]]
அகழ்:[[அகழ், , , , , , , , , , , ]]
அகழ்வாராய்ச்சி:[[அகழ்வாராய்ச்சி, , , , , , , , , , , ]]
அகழ்வு:[[அகழ்வு, , , , , , , , , , , ]]
அகவயம்:[[அகவயம், , , , , , , , , , , ]]
அகவல்:[[அகவல், , , , , , , , , , , ]]
அகவிலைப்படி:[[அகவிலைப்படி, , , , , , , , , , , ]]
அகவு:[[அகவு, , , , , , , , , , , ]]
அகவை:[[அகவை, , , , , , , , , , , ]]
அகஸ்மாத்தாக:[[அகஸ்மாத்தாக, , , , , , , , , , , ]]
அகாரணமாக:[[அகாரணமாக, , , , , , , , , , , ]]
அகாலம்:[[அகாலம், , , , , , , , , , , ]]
அகிம்சை:[[அகிம்சை, , , , , , , , , , , ]]
அகில:[[அகில, , , , , , , , , , , ]]
அகில்:[[அகில், , , , , , , , , , , ]]
அகோரம்:[[அகோரம், , , , , , , , , , , ]]
அகௌரவம்:[[அகௌரவம், , , , , , , , , , , ]]
அக்கக்காக:[[அக்கக்காக, , , , , , , , , , , ]]
அக்கப்போர்:[[அக்கப்போர், , , , , , , , , , , ]]
அக்கம்பக்கம்:[[அக்கம்பக்கம், , , , , , , , , , , ]]
அக்கரை:[[அக்கரை, , , , , , , , , , , ]]
அக்கறை:[[அக்கறை, , , , , , , , , , , ]]
அக்கறையின்மை:[[அக்கறையின்மை, , , , , , , , , , , ]]
அக்கா:[[அக்கா, , , , , , , , , , , ]]
அக்காக்குருவி:[[அக்காக்குருவி, , , , , , , , , , , ]]
அக்கி:[[அக்கி, , , , , , , , , , , ]]
அக்கினி:[[அக்கினி, , , , , , , , , , , ]]
அக்கினிமூலை:[[அக்கினிமூலை, , , , , , , , , , , ]]
அக்கிரகாரம்:[[அக்கிரகாரம், , , , , , , , , , , ]]
அக்கிரமம்:[[அக்கிரமம், , , , , , , , , , , ]]
அக்கிராசனா்:[[அக்கிராசனா், , , , , , , , , , , ]]
அக்குள்:[[அக்குள், , , , , , , , , , , ]]
அங்கக:[[அங்கக, , , , , , , , , , , ]]
அங்ககீனம்:[[அங்ககீனம், , , , , , , , , , , ]]
அங்கங்கே:[[அங்கங்கே, , , , , , , , , , , ]]
அங்கசாஸ்திரம்:[[அங்கசாஸ்திரம், , , , , , , , , , , ]]
அங்கசேஷ்டை:[[அங்கசேஷ்டை, , , , , , , , , , , ]]
அங்கணம்:[[அங்கணம், , , , , , , , , , , ]]
அங்கதம்:[[அங்கதம், , , , , , , , , , , ]]
அங்கத்தவா்:[[அங்கத்தவா், , , , , , , , , , , ]]
அங்கத்தினா்:[[அங்கத்தினா், , , , , , , , , , , ]]
அங்கத்துவம்:[[அங்கத்துவம், , , , , , , , , , , ]]
அங்கப்பிரதட்சணம்:[[அங்கப்பிரதட்சணம், , , , , , , , , , , ]]
அங்கம்:[[அங்கம், , , , , , , , , , , ]]
அங்கலாய்:[[அங்கலாய், , , , , , , , , , , ]]
அங்கலாய்ப்பு:[[அங்கலாய்ப்பு, , , , , , , , , , , ]]
அங்கவஸ்திரம்:[[அங்கவஸ்திரம், , , , , , , , , , , ]]
அங்காடி:[[அங்காடி, , , , , , , , , , , ]]
அங்கால்:[[அங்கால், , , , , , , , , , , ]]
அங்கி:[[அங்கி, , , , , , , , , , , ]]
அங்கீகராம்:[[அங்கீகராம், , , , , , , , , , , ]]
அங்கீகரி:[[அங்கீகரி, , , , , , , , , , , ]]
அங்குசம்:[[அங்குசம், , , , , , , , , , , ]]
அங்குமிங்கும்:[[அங்குமிங்கும், , , , , , , , , , , ]]
அங்குரார்பணம்:[[அங்குரார்பணம், , , , , , , , , , , ]]
அங்குலம்:[[அங்குலம், , , , , , , , , , , ]]
அங்குஸ்தான்:[[அங்குஸ்தான், , , , , , , , , , , ]]
அங்கே:[[அங்கே, , , , , , , , , , , ]]
அங்ஙனம்:[[அங்ஙனம், , , , , , , , , , , ]]
அசகாய:[[அசகாய, , , , , , , , , , , ]]
அசகாயசூரன்:[[அசகாயசூரன், , , , , , , , , , , ]]
அசக்கு:[[அசக்கு, , , , , , , , , , , ]]
அசங்கு:[[அசங்கு, , , , , , , , , , , ]]
அசடு:[[அசடு, , , , , , , , , , , ]]
அசடுவழிதல்:[[அசடுவழிதல், , , , , , , , , , , ]]
அசட்டுதனம்:[[அசட்டுதனம், , , , , , , , , , , ]]
அசட்டுப்பிசட்டு:[[அசட்டுப்பிசட்டு, , , , , , , , , , , ]]
அசட்டை:[[அசட்டை, , , , , , , , , , , ]]
அசண்டை:[[அசண்டை, , , , , , , , , , , ]]
அசதி:[[அசதி, , , , , , , , , , , ]]
அசத்தல்:[[அசத்தல், , , , , , , , , , , ]]
அசத்து:[[அசத்து, , , , , , , , , , , ]]
அசந்தா்ப்பம்:[[அசந்தா்ப்பம், , , , , , , , , , , ]]
அசப்பபாவிதம்:[[அசப்பபாவிதம், , , , , , , , , , , ]]
அசப்பில்:[[அசப்பில், , , , , , , , , , , ]]
அசமந்நம்:[[அசமந்நம், , , , , , , , , , , ]]
அசரீரி:[[அசரீரி, , , , , , , , , , , ]]
அசல்:[[அசல், , , , , , , , , , , ]]
அசாதாரணம்:[[அசாதாரணம், , , , , , , , , , , ]]
அசா்:[[அசா், , , , , , , , , , , ]]
அசிங்கப்படுத்து:[[அசிங்கப்படுத்து, , , , , , , , , , , ]]
அசிங்கப்பட்டு:[[அசிங்கப்பட்டு, , , , , , , , , , , ]]
அசிங்கம்:[[அசிங்கம், , , , , , , , , , , ]]
அசுத்த:[[அசுத், த, , , , , , , , , , ], [அசுத்த், அ, , , , , , , , , , ]]
அசுத்த:[[அசுத், த, , , , , , , , , , ], [அசுத்த், அ, , , , , , , , , , ]]
அசுமாத்தம்:[[அசுமாத்தம், , , , , , , , , , , ]]
அசுர:[[அசுரர், , , , , , , , , , , ]]
அசுரத்தனம்:[[அசுரத்தனம், , , , , , , , , , , ]]
அசுரன்:[[அசுரன், , , , , , , , , , , ]]
அசுவமேத:[[அசுவமேத, null, , , , , , , , , , ]]
அசுவாரசியம்:[[அசுவாரசியம், , , , , , , , , , , ]]
அசுவுணி:[[அசுவுணி, , , , , , , , , , , ]]
அசூயை:[[அசூயை, , , , , , , , , , , ]]
அசை:[[அசை, , , , , , , , , , , ]]
அசைந்துக்கொடு:[[அசைந்துக்கொடு, , , , , , , , , , , ]]
அசைப்போடு:[[அசைப்போடு, , , , , , , , , , , ]]
அசையாச்சொத்து:[[அசையாச்சொத்து, , , , , , , , , , , ]]
அசையும்சொத்து:[[அசையும்சொத்து, , , , , , , , , , , ]]
அசைவம்:[[அசைவம், , , , , , , , , , , ]]
அசைவு:[[அசைவு, , , , , , , , , , , ]]
அசோகச்சக்கரம்:[[அசோகச்சக்கரம், , , , , , , , , , , ]]
அசௌகரியம்:[[அசௌகரியம், , , , , , , , , , , ]]
அசௌக்கியம்:[[அசௌக்கியம், , , , , , , , , , , ]]
அச்சகம்:[[அச்சகம், , , , , , , , , , , ]]
அச்சக்கோடு:[[அச்சக்கோடு, , , , , , , , , , , ]]
அச்சப்படு:[[அச்சப்படு, , , , , , , , , , , ]]
அச்சம்:[[அச்சம், , , , , , , , , , , ]]
அச்சரக்கட்டை:[[அச்சரக்கட்டை, , , , , , , , , , , ]]
அச்சவாரம்:[[அச்சவாரம், , , , , , , , , , , ]]
அச்சாகு:[[அச்சாகு, , , , , , , , , , , ]]
அச்சானியம்:[[அச்சானியம், , , , , , , , , , , ]]
அச்சிடி:[[அச்சிடி, , , , , , , , , , , ]]
அச்சிடு:[[அச்சிடு, , , , , , , , , , , ]]
அச்சிரத்தகடு:[[அச்சிரத்தகடு, , , , , , , , , , , ]]
அச்சு:[[அச்சு, , , , , , , , , , , ]]
அச்சுக்கட்டை:[[அச்சுக்கட்டை, , , , , , , , , , , ]]
அச்சுக்கால்:[[அச்சுக்கால், , , , , , , , , , , ]]
அச்சுக்கூடம்:[[அச்சுக்கூடம், , , , , , , , , , , ]]
அச்சுக்கோ:[[அச்சுக்கோ, , , , , , , , , , , ]]
அச்சுப்பிரதி:[[அச்சுப்பிரதி, , , , , , , , , , , ]]
அச்சுப்பிழை:[[அச்சுப்பிழை, , , , , , , , , , , ]]
அச்சுப்பொறி:[[அச்சுப்பொறி, , , , , , , , , , , ]]
அச்சுமரம்:[[அச்சுமரம், , , , , , , , , , , ]]
அச்சுறுத்தல்:[[அச்சுறுத்தல், , , , , , , , , , , ]]
